timestamp,high,low,open,volumefrom,volume,close,conversionType,conversionSymbol
2017-05-20 00:00:00+00:00,133.73,119.8,124.1,1078076.66,131462348.21,121.94,multiply,BTC
2017-05-21 00:00:00+00:00,148.6,121.72,123.06,813099.29,110402028.57,148.0,direct,
2017-05-22 00:00:00+00:00,181.46,133.38,148.0,1695380.88,274191653.75,160.39,direct,
2017-05-23 00:00:00+00:00,176.04,155.06,160.39,697270.37,114242328.23,169.5,direct,
2017-05-24 00:00:00+00:00,201.15,167.81,169.5,940067.51,175438578.03,193.03,direct,
2017-05-25 00:00:00+00:00,216.1,160.86,193.03,1244603.0,238787495.75,177.33,direct,
2017-05-26 00:00:00+00:00,197.67,141.56,177.33,1057854.77,180297613.5,162.83,direct,
2017-05-27 00:00:00+00:00,169.62,114.17,162.83,1551930.38,220037050.67,156.63,direct,
2017-05-28 00:00:00+00:00,182.36,156.51,156.51,765913.66,127225150.79,172.86,direct,
2017-05-29 00:00:00+00:00,197.74,165.36,172.86,649778.58,117364507.62,194.17,direct,
2017-05-30 00:00:00+00:00,232.08,185.83,194.17,1246427.54,259513540.14,228.58,direct,
2017-05-31 00:00:00+00:00,233.92,214.05,228.58,1010028.21,225740686.88,228.64,direct,
2017-06-01 00:00:00+00:00,235.52,208.0,228.64,855293.22,188744370.55,220.7,direct,
2017-06-02 00:00:00+00:00,227.71,216.94,220.7,407207.46,89635792.58,222.04,direct,
2017-06-03 00:00:00+00:00,232.91,217.1,222.86,620010.1,138723103.95,223.74,multiply,BTC
2017-06-04 00:00:00+00:00,249.34,223.88,224.3,519826.47,123696111.28,244.96,direct,
2017-06-05 00:00:00+00:00,248.62,241.5,244.96,339404.76,83061054.37,247.75,direct,
2017-06-06 00:00:00+00:00,268.12,246.5,247.75,738103.3,189040588.11,264.26,direct,
2017-06-07 00:00:00+00:00,264.8,246.17,264.26,449467.44,115588722.19,255.77,direct,
2017-06-08 00:00:00+00:00,260.77,250.89,255.77,354113.99,90124852.82,259.41,direct,
2017-06-09 00:00:00+00:00,279.14,259.36,259.41,451368.51,121471877.23,279.11,direct,
2017-06-10 00:00:00+00:00,351.82,278.79,279.11,931148.98,286877358.36,335.95,direct,
2017-06-11 00:00:00+00:00,351.21,314.39,335.95,639586.84,215135870.25,339.68,direct,
2017-06-12 00:00:00+00:00,417.21,311.99,339.68,1509276.84,549683393.83,394.66,direct,
2017-06-13 00:00:00+00:00,399.5,359.7,394.66,681665.87,260123720.89,388.09,direct,
2017-06-14 00:00:00+00:00,393.62,317.23,388.09,973146.95,348212541.18,343.84,direct,
2017-06-15 00:00:00+00:00,351.94,260.78,343.84,1945808.2,602112721.79,344.68,direct,
2017-06-16 00:00:00+00:00,360.84,316.83,344.68,652504.83,223997348.97,353.61,direct,
2017-06-17 00:00:00+00:00,368.33,342.85,353.61,378375.61,134453789.41,368.1,direct,
2017-06-18 00:00:00+00:00,379.17,341.29,368.1,453364.71,162855868.32,351.53,direct,
2017-06-19 00:00:00+00:00,361.5,348.66,351.53,298728.2,106180717.99,358.2,direct,
2017-06-20 00:00:00+00:00,365.22,323.69,358.2,571693.85,201343473.08,350.53,direct,
2017-06-21 00:00:00+00:00,352.83,138.5,350.53,978394.73,305462617.14,325.3,direct,
2017-06-22 00:00:00+00:00,333.4,308.21,325.3,486700.58,155828144.6,320.97,direct,
2017-06-23 00:00:00+00:00,331.53,319.62,320.97,241098.57,78597250.89,326.85,direct,
2017-06-24 00:00:00+00:00,330.28,298.73,326.85,366236.34,114491120.56,304.54,direct,
2017-06-25 00:00:00+00:00,309.98,253.3,304.54,794762.46,222961091.7,279.36,direct,
2017-06-26 00:00:00+00:00,293.55,209.55,279.36,1818268.14,444174618.98,253.68,direct,
2017-06-27 00:00:00+00:00,286.64,211.47,253.68,1425022.43,346738914.6,286.14,direct,
2017-06-28 00:00:00+00:00,323.87,260.89,286.14,1257687.23,366875067.35,315.86,direct,
2017-06-29 00:00:00+00:00,322.28,285.89,315.86,829138.34,249819374.85,292.9,direct,
2017-06-30 00:00:00+00:00,305.3,270.43,292.9,715498.52,205409173.28,280.68,direct,
2017-07-01 00:00:00+00:00,281.81,253.18,280.68,812033.74,214127111.59,261.0,direct,
2017-07-02 00:00:00+00:00,293.3,254.19,261.0,705029.58,189730463.06,283.99,direct,
2017-07-03 00:00:00+00:00,284.31,272.64,283.99,503723.77,139887958.58,276.41,direct,
2017-07-04 00:00:00+00:00,282.32,265.21,276.41,515842.63,141480666.78,269.05,direct,
2017-07-05 00:00:00+00:00,274.03,253.7,269.05,620794.42,162838117.13,266.0,direct,
2017-07-06 00:00:00+00:00,274.55,261.57,266.0,400246.51,106470793.34,265.88,direct,
2017-07-07 00:00:00+00:00,266.25,236.16,265.88,689172.67,171183446.25,240.94,direct,
2017-07-08 00:00:00+00:00,248.35,230.96,240.94,583786.44,139823006.33,245.67,direct,
2017-07-09 00:00:00+00:00,251.79,236.59,245.67,313936.23,76538488.68,237.72,direct,
2017-07-10 00:00:00+00:00,240.09,188.21,237.72,1279710.77,274808713.13,205.76,direct,
2017-07-11 00:00:00+00:00,216.16,175.21,205.76,1904168.17,368656185.14,190.55,direct,
2017-07-12 00:00:00+00:00,227.06,181.62,190.55,1403985.29,289483936.34,224.15,direct,
2017-07-13 00:00:00+00:00,226.66,193.2,224.15,949977.28,196303864.51,205.41,direct,
2017-07-14 00:00:00+00:00,207.07,182.62,205.41,939689.54,181470096.09,197.14,direct,
2017-07-15 00:00:00+00:00,198.71,168.95,197.14,970745.65,176484014.55,169.1,direct,
2017-07-16 00:00:00+00:00,171.91,132.64,169.1,2453216.73,374176884.45,155.42,direct,
2017-07-17 00:00:00+00:00,190.26,154.25,155.42,2036812.69,352420261.18,189.97,direct,
2017-07-18 00:00:00+00:00,256.89,177.42,189.97,3019202.94,642203465.55,227.09,direct,
2017-07-19 00:00:00+00:00,244.02,187.21,227.09,2682837.95,576048989.06,194.41,direct,
2017-07-20 00:00:00+00:00,235.86,194.41,194.41,2295299.03,504434488.1,226.33,direct,
